train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/clip_fraction,train/loss,train/gradient_layer_0,train/gradient_layer_1,train/gradient_layer_2,train/gradient_layer_3,train/gradient_layer_4,train/gradient_layer_5,train/gradient_layer_6,train/gradient_layer_7,train/gradient_layer_8,train/gradient_layer_9,train/gradient_layer_10,train/gradient_layer_11,train/n_updates,train/clip_range
0.0003,-0.6174210499972105,-0.01743323339469498,75.62816889286042,0.009687207,0.06103515625,26.712682723999023,3.3988912,0.06964962,11.663226,0.03108648,3.7183168,1.3870827,17.578539,0.8829418,0.5129186,0.004763455,3.5605254,0.13870318,34,0.2
0.0003,-0.6149501418694854,-0.018041843780035077,73.02071642875671,0.0101992255,0.06990559895833333,25.616880416870117,3.405571,0.06994139,11.666637,0.031845678,3.763207,1.3794059,17.687595,0.8774261,0.51344156,0.005661936,3.6130986,0.14161877,35,0.2
0.0003,-0.6131075099110603,-0.018652757508139724,70.77131632396153,0.01039796,0.0771484375,23.8629207611084,3.4147654,0.073563606,11.672022,0.03418948,3.8033922,1.3804398,17.80189,0.8769029,0.51642,0.0066168355,3.6679606,0.14478981,36,0.2
0.0003,-0.6113014302682132,-0.01922625093629904,68.79062634706497,0.011474913,0.08282470703125,21.9864559173584,3.4242733,0.07991572,11.67804,0.036766972,3.8541627,1.3748835,17.917322,0.8721928,0.5176441,0.00721658,3.7223153,0.14780256,37,0.2
0.0003,-0.609686493045754,-0.019662456754304003,67.03000179926555,0.01232534,0.0885959201388889,17.361845016479492,3.4338462,0.08540869,11.682764,0.04005885,3.8982136,1.3724664,18.019863,0.86950654,0.51978123,0.008160352,3.768716,0.15037248,38,0.2
0.0003,-0.6083951134234666,-0.01998929752080585,65.48212740421295,0.012462873,0.093798828125,20.012008666992188,3.4405599,0.0978526,11.686366,0.043146797,3.9404767,1.3707895,18.112143,0.86753136,0.5184244,0.00815782,3.8102639,0.15262517,39,0.2
0.0003,-0.6224169991910458,9.137312008533627e-05,100.05873441696167,2.1873682e-05,0.0,40.57391357421875,3.442295,0.09674258,11.687277,0.045839015,3.938544,1.4213334,18.247305,0.89746,0.51851934,0.009416626,3.8838923,0.15835506,40,0.2
0.0003,-0.6184774050489068,-0.0023844260795158334,90.86278259754181,0.00060797186,0.0,36.851261138916016,3.45118,0.08962933,11.695268,0.049640916,3.927974,1.4803314,18.39075,0.9316523,0.5327802,0.011079426,3.9753864,0.16578287,41,0.2
0.0003,-0.6125278522570928,-0.005440941929312733,83.65212126572926,0.0030780544,0.0078125,28.423236846923828,3.4630616,0.0818829,11.7047615,0.05375228,3.9371853,1.5154479,18.515312,0.9501745,0.5479854,0.012280082,4.0712013,0.17329846,42,0.2
0.0003,-0.6072820154950023,-0.007332070807024138,78.05341717600822,0.0059459917,0.0225830078125,19.283710479736328,3.473621,0.07537032,11.710855,0.056078672,3.9570718,1.538517,18.625584,0.9611253,0.5583618,0.012858964,4.1660457,0.18073207,43,0.2
